"state","year","income","medicare","medicaid"
"MN",2013,"<25k",2.59234837852048,2.74573241702023
"MN",2013,"25-50k",2.44904333046338,2.59394829755802
"MN",2013,"50-75k",1.48001004191396,1.56757925874063
"MN",2013,"75-100k",0.717489138324171,0.759941527257589
"MN",2013,">100k",0.95810911077801,1.01479849942353
"MS",2013,"<25k",2.59066663500616,1.96664070140189
"MS",2013,"25-50k",1.7260413790584,1.31028175624458
"MS",2013,"50-75k",0.778031712863601,0.590623591944838
"MS",2013,"75-100k",0.34638478104023,0.262949466185671
"MS",2013,">100k",0.3668754920316,0.278504484223024
"MO",2013,"<25k",4.18698539631428,3.21770583480289
"MO",2013,"25-50k",3.37847096052535,2.59636103148677
"MO",2013,"50-75k",1.76823032327361,1.35888819518726
"MO",2013,"75-100k",0.803038264903343,0.617136356105773
"MO",2013,">100k",0.943275054983422,0.724908582417314
"MT",2013,"<25k",0.503814427491095,0.331869808433498
"MT",2013,"25-50k",0.453152246795055,0.298497901467385
"MT",2013,"50-75k",0.254063051221975,0.167354985364243
"MT",2013,"75-100k",0.129652065832333,0.0854036802102977
"MT",2013,">100k",0.168318208659542,0.110873624524576
"NE",2013,"<25k",0.952582616848449,0.546865141167993
"NE",2013,"25-50k",0.931457547247061,0.534737516786217
"NE",2013,"50-75k",0.51509288100619,0.29570804264518
"NE",2013,"75-100k",0.224480597589335,0.128871356162589
"NE",2013,">100k",0.278386357308965,0.15981794323802
"NV",2013,"<25k",1.35997939939069,0.505908602930509
"NV",2013,"25-50k",1.31657528755881,0.489762392489275
"NV",2013,"50-75k",0.708555366728151,0.263580651178214
"NV",2013,"75-100k",0.416044144162815,0.154767279434623
"NV",2013,">100k",0.569845802159541,0.211981073967379
"NH",2013,"<25k",0.600505718549402,0.311334706013021
"NH",2013,"25-50k",0.700505835312612,0.363180185568067
"NH",2013,"50-75k",0.455906612215141,0.236366693436768
"NH",2013,"75-100k",0.229114191571405,0.118785212651436
"NH",2013,">100k",0.31696764235144,0.164333202330708
"NJ",2013,"<25k",5.18080811182564,2.8185621583486
"NJ",2013,"25-50k",4.46422009328955,2.42871026100433
"NJ",2013,"50-75k",2.89142134087229,1.57304625056889
"NJ",2013,"75-100k",1.7950428634511,0.976573495549544
"NJ",2013,">100k",3.26650759056141,1.77710783452864
"NM",2013,"<25k",1.12466143362933,1.13782196528331
"NM",2013,"25-50k",0.893037985263993,0.903488112139366
"NM",2013,"50-75k",0.467302937720036,0.472771210144042
"NM",2013,"75-100k",0.212626847926704,0.215114958818525
"NM",2013,">100k",0.293370795459933,0.296803753614763
"NY",2013,"<25k",13.6354891575331,17.5566205211763
"NY",2013,"25-50k",10.3852928086166,13.3717714660389
"NY",2013,"50-75k",5.66984124414835,7.30030657417469
"NY",2013,"75-100k",3.1480072434477,4.05327362536106
"NY",2013,">100k",5.53836954625425,7.13102781324911
"NC",2013,"<25k",6.43952396709405,4.23092847157584
"NC",2013,"25-50k",5.22758226089465,3.43465242743788
"NC",2013,"50-75k",2.60023074277075,1.70841669950646
"NC",2013,"75-100k",1.20323727520429,0.790557015042913
"NC",2013,">100k",1.50442575403626,0.988445386436904
"ND",2013,"<25k",0.333455772637973,0.249690655546047
"ND",2013,"25-50k",0.310971175981391,0.232854258819559
"ND",2013,"50-75k",0.182124606780846,0.136374344634743
"ND",2013,"75-100k",0.0833952500331449,0.0624461063770806
"ND",2013,">100k",0.129053194566645,0.0966346346225699
"OH",2013,"<25k",8.83689842764349,6.2793793201127
"OH",2013,"25-50k",6.94016360891336,4.93158546528984
"OH",2013,"50-75k",3.32069728895973,2.35964213636532
"OH",2013,"75-100k",1.49172583694863,1.06000000435797
"OH",2013,">100k",1.76951483753478,1.25739307387417
"OK",2013,"<25k",2.29912841879311,1.60505191500651
"OK",2013,"25-50k",2.13420913527246,1.48991958500153
"OK",2013,"50-75k",1.06559992684064,0.74390938288875
"OK",2013,"75-100k",0.536600180084575,0.374607672889232
"OK",2013,">100k",0.589462339009213,0.411511444213979
"OR",2013,"<25k",1.99821180655606,1.55937845462842
"OR",2013,"25-50k",1.88878444274465,1.47398276588589
"OR",2013,"50-75k",1.02278620612713,0.79816902707358
"OR",2013,"75-100k",0.514317346241796,0.401366554806522
"OR",2013,">100k",0.622900198330365,0.486103197605588
"PA",2013,"<25k",9.26670842990788,6.61121643025583
"PA",2013,"25-50k",8.10995160384575,5.78594284016527
"PA",2013,"50-75k",4.37142812049712,3.11874034156918
"PA",2013,"75-100k",2.20487498918872,1.57304029423633
"PA",2013,">100k",2.82303685656053,2.01406009377338
"RI",2013,"<25k",0.738198421105963,0.647045091518741
"RI",2013,"25-50k",0.54506195516334,0.477757270374089
"RI",2013,"50-75k",0.304661437462961,0.267041600265298
"RI",2013,"75-100k",0.196067178225878,0.17185664673858
"RI",2013,">100k",0.273011008041858,0.239299391103291
"SC",2013,"<25k",3.40032025877891,1.75895861487693
"SC",2013,"25-50k",2.64508005662031,1.36827886744475
"SC",2013,"50-75k",1.3595554647356,0.703287224468222
"SC",2013,"75-100k",0.661073547396528,0.341968086170198
"SC",2013,">100k",0.781970672468654,0.404507207039899
"SD",2013,"<25k",0.413464357597438,0.236759438228799
"SD",2013,"25-50k",0.436293809434562,0.249832120535532
"SD",2013,"50-75k",0.220900797757478,0.126493004343256
"SD",2013,"75-100k",0.106544585597992,0.0610099414108655
"SD",2013,">100k",0.137796449612529,0.0789054954815473
"TN",2013,"<25k",4.71528778666681,3.18087243175383
"TN",2013,"25-50k",3.68903037526419,2.48857239504256
"TN",2013,"50-75k",1.72159163805885,1.16136355361469
"TN",2013,"75-100k",0.796096215538607,0.537036257297109
"TN",2013,">100k",0.945993984471543,0.638155362291807
"TX",2013,"<25k",13.8045329112422,9.34641081835217
"TX",2013,"25-50k",12.0985743844561,8.19138519503474
"TX",2013,"50-75k",6.31206065906221,4.27360435947162
"TX",2013,"75-100k",3.19458577805235,2.16290629086238
"TX",2013,">100k",4.38324626718709,2.96769333627911
"UT",2013,"<25k",0.778042830251799,0.542647706449503
"UT",2013,"25-50k",0.870136160056721,0.606878404625547
"UT",2013,"50-75k",0.493113217062198,0.343922912537011
"UT",2013,"75-100k",0.303602264840547,0.211748076433375
"UT",2013,">100k",0.381105527788735,0.265802899954563
"VT",2013,"<25k",0.341379006525722,0.456594421228153
"VT",2013,"25-50k",0.347479671449451,0.464754060563641
"VT",2013,"50-75k",0.204614364822859,0.273671712950573
"VT",2013,"75-100k",0.109060337196616,0.145868201000473
"VT",2013,">100k",0.117466620005352,0.157111604257159
"VA",2013,"<25k",3.62740671753415,2.07587088328376
"VA",2013,"25-50k",3.3179401663645,1.89877119390566
"VA",2013,"50-75k",1.92448011361002,1.10133010836385
"VA",2013,"75-100k",1.07552242407088,0.615493617976541
"VA",2013,">100k",2.05065057842044,1.17353419647018
"WA",2013,"<25k",2.85174058639552,2.13048323964179
"WA",2013,"25-50k",2.88074622193832,2.15215281950256
"WA",2013,"50-75k",1.74258252876355,1.30185153899845
"WA",2013,"75-100k",0.940960654567971,0.702974496797862
"WA",2013,">100k",1.34997000833464,1.00853790505934
"WV",2013,"<25k",1.66769264210163,1.16465228456601
"WV",2013,"25-50k",1.24607696995158,0.870212144109681
"WV",2013,"50-75k",0.574709946791198,0.401355283099216
"WV",2013,"75-100k",0.255526749932969,0.178450036633923
"WV",2013,">100k",0.283993691222627,0.198330251591174
"WI",2013,"<25k",3.15166861723259,2.34044939563746
"WI",2013,"25-50k",3.08177606821561,2.28854673899014
"WI",2013,"50-75k",1.54101439876362,1.14436720870161
"WI",2013,"75-100k",0.734008444816194,0.545079394346767
"WI",2013,">100k",0.722532470971992,0.536557262324017
"WY",2013,"<25k",0.214885220552897,0.149544803616329
