"year","r","hh","numhh"
2022,"KY","hh4",0.29807329
2022,"KY","hh5",0.23691491
2022,"LA","hh1",0.53283746
2022,"LA","hh2",0.38059605
2022,"LA","hh3",0.38477084
2022,"LA","hh4",0.3000902
2022,"LA","hh5",0.24043348
2022,"ME","hh1",0.11806655
2022,"ME","hh2",0.13461873
2022,"ME","hh3",0.1159481
2022,"ME","hh4",0.13977519
2022,"ME","hh5",0.08336866
2022,"MD","hh1",0.27964672
2022,"MD","hh2",0.34629941
2022,"MD","hh3",0.38167605
2022,"MD","hh4",0.48437686
2022,"MD","hh5",0.79804914
2022,"MA","hh1",0.48196224
2022,"MA","hh2",0.41614531
2022,"MA","hh3",0.46966445
2022,"MA","hh4",0.52297883
2022,"MA","hh5",0.85908128
2022,"MI","hh1",0.8534219
2022,"MI","hh2",0.88473533
2022,"MI","hh3",0.84242193
2022,"MI","hh4",0.82610398
2022,"MI","hh5",0.75019096
2022,"MN","hh1",0.33723793
2022,"MN","hh2",0.4408484
2022,"MN","hh3",0.42625997
2022,"MN","hh4",0.56684166
2022,"MN","hh5",0.53449792
2022,"MS","hh1",0.38828949
2022,"MS","hh2",0.28720829
2022,"MS","hh3",0.22144909
2022,"MS","hh4",0.16282828
2022,"MS","hh5",0.10230735
2022,"MO","hh1",0.52091094
2022,"MO","hh2",0.51634968
2022,"MO","hh3",0.55948928
2022,"MO","hh4",0.53360665
2022,"MO","hh5",0.38799716
2022,"MT","hh1",0.09890214
2022,"MT","hh2",0.10269478
2022,"MT","hh3",0.09672457
2022,"MT","hh4",0.10661265
2022,"MT","hh5",0.07675304
2022,"NE","hh1",0.13480779
2022,"NE","hh2",0.16414638
2022,"NE","hh3",0.17069809
2022,"NE","hh4",0.18156353
2022,"NE","hh5",0.13776457
2022,"NV","hh1",0.22495588
2022,"NV","hh2",0.25926497
2022,"NV","hh3",0.28529818
2022,"NV","hh4",0.25554821
2022,"NV","hh5",0.19604492
2022,"NH","hh1",0.08767579
2022,"NH","hh2",0.12401869
2022,"NH","hh3",0.10490267
2022,"NH","hh4",0.13958457
2022,"NH","hh5",0.13428427
2022,"NJ","hh1",0.55986574
2022,"NJ","hh2",0.60658755
2022,"NJ","hh3",0.59199804
2022,"NJ","hh4",0.71831311
2022,"NJ","hh5",0.97017624
2022,"NM","hh1",0.23993391
2022,"NM","hh2",0.20613134
2022,"NM","hh3",0.18371556
2022,"NM","hh4",0.13643634
2022,"NM","hh5",0.10405214
2022,"NY","hh1",1.71289204
2022,"NY","hh2",1.33793814
2022,"NY","hh3",1.47073819
2022,"NY","hh4",1.55715218
2022,"NY","hh5",1.73308596
2022,"NC","hh1",1.03270251
2022,"NC","hh2",1.01016754
2022,"NC","hh3",0.94284589
2022,"NC","hh4",0.72709652
2022,"NC","hh5",0.74251448
2022,"ND","hh1",0.05310698
2022,"ND","hh2",0.06970504
2022,"ND","hh3",0.06324855
2022,"ND","hh4",0.08337906
2022,"ND","hh5",0.05505593
2022,"OH","hh1",1.08629385
2022,"OH","hh2",1.07422438
2022,"OH","hh3",0.96556039
2022,"OH","hh4",0.94522162
2022,"OH","hh5",0.87448939
2022,"OK","hh1",0.39652356
2022,"OK","hh2",0.35059477
2022,"OK","hh3",0.33293159
2022,"OK","hh4",0.3141092
2022,"OK","hh5",0.18644451
2022,"OR","hh1",0.25103646
2022,"OR","hh2",0.2909396
2022,"OR","hh3",0.36145098
2022,"OR","hh4",0.39125516
2022,"OR","hh5",0.38206544
2022,"PA","hh1",1.14328433
2022,"PA","hh2",1.08230487
2022,"PA","hh3",1.06364232
2022,"PA","hh4",1.04223633
2022,"PA","hh5",1.05985548
2022,"RI","hh1",0.07901596
2022,"RI","hh2",0.08819606
2022,"RI","hh3",0.08239563
2022,"RI","hh4",0.08974358
2022,"RI","hh5",0.09678071
2022,"SC","hh1",0.52103738
2022,"SC","hh2",0.53992433
2022,"SC","hh3",0.42872747
2022,"SC","hh4",0.39896861
2022,"SC","hh5",0.30569781
2022,"SD","hh1",0.07614827
2022,"SD","hh2",0.09006633
2022,"SD","hh3",0.08440994
2022,"SD","hh4",0.07623402
2022,"SD","hh5",0.05520557
2022,"TN","hh1",0.59360226
2022,"TN","hh2",0.72570506
2022,"TN","hh3",0.65051003
2022,"TN","hh4",0.56224308
2022,"TN","hh5",0.44014282
2022,"TX","hh1",2.28351008
2022,"TX","hh2",2.21165871
2022,"TX","hh3",2.25947631
2022,"TX","hh4",2.25837366
2022,"TX","hh5",2.12346947
2022,"UT","hh1",0.11641794
2022,"UT","hh2",0.17782472
2022,"UT","hh3",0.24288796
2022,"UT","hh4",0.27997144
2022,"UT","hh5",0.29028459
2022,"VT","hh1",0.05833639
2022,"VT","hh2",0.05281424
2022,"VT","hh3",0.0602748
2022,"VT","hh4",0.06347892
2022,"VT","hh5",0.0512373
2022,"VA","hh1",0.55953005
2022,"VA","hh2",0.62172495
2022,"VA","hh3",0.69840296
2022,"VA","hh4",0.65957849
2022,"VA","hh5",0.91047479
2022,"WA","hh1",0.45991131
