"year","r","hh","source","value"
2016,"AK","hh4","hwsval",0.273704665893139
2016,"AK","hh4","hseval",0.231045683083548
2016,"AK","hh4","hfrval",0.0775500458478113
2016,"AK","hh4","hucval",0.231254535975754
2016,"AK","hh4","hwcval",0.175990253233066
2016,"AK","hh4","hssval",0.302964612971845
2016,"AK","hh4","hssival",0.0716187234163464
2016,"AK","hh4","hpawval",0.137135828087049
2016,"AK","hh4","hvetval",0.163601464563946
2016,"AK","hh4","hsurval",0
2016,"AK","hh4","hdisval",0.0408508285369436
2016,"AK","hh4","hretval",0.36900938981194
2016,"AK","hh4","hintval",0.197055883157994
2016,"AK","hh4","hdivval",0.26194527961826
2016,"AK","hh4","hrntval",0.173658783725138
2016,"AK","hh4","hedval",0.214939585344051
2016,"AK","hh4","hcspval",0.305701637495351
2016,"AK","hh4","hfinval",0.0495081651691121
2016,"AK","hh4","hoival",0.232239946730327
2016,"AK","hh4","htotval",0.270873292260213
2016,"AK","hh5","hwsval",0.542297146291584
2016,"AK","hh5","hseval",0.595214895763862
2016,"AK","hh5","hfrval",0.825643001970272
2016,"AK","hh5","hucval",0.238136172951788
2016,"AK","hh5","hwcval",0.121730925633979
2016,"AK","hh5","hssval",0.182295830447958
2016,"AK","hh5","hssival",0.027440049370562
2016,"AK","hh5","hpawval",0.0707964303040484
2016,"AK","hh5","hvetval",0.213292268402558
2016,"AK","hh5","hsurval",0.483483084430235
2016,"AK","hh5","hdisval",0.00610782710482147
2016,"AK","hh5","hretval",0.450733928043364
2016,"AK","hh5","hintval",0.726003783416368
2016,"AK","hh5","hdivval",0.585989748660012
2016,"AK","hh5","hrntval",0.649376003102972
2016,"AK","hh5","hedval",0.0669686564502426
2016,"AK","hh5","hcspval",0.130367553785697
2016,"AK","hh5","hfinval",0.595982424107912
2016,"AK","hh5","hoival",0.462687539486208
2016,"AK","hh5","htotval",0.514352756833481
2016,"AZ","hh1","hwsval",0.0168328985353994
2016,"AZ","hh1","hseval",0.0384266918046913
2016,"AZ","hh1","hfrval",-1.05484339855572e-05
2016,"AZ","hh1","hucval",0.237694425247131
2016,"AZ","hh1","hwcval",0
2016,"AZ","hh1","hssval",0.142430188504865
2016,"AZ","hh1","hssival",0.750200165221844
