"year","r","hh","source","value"
2016,"CA","hh4","hssval",13662924602.91
2016,"CA","hh4","hssival",341240128.94
2016,"CA","hh4","hpawval",88805850.68
2016,"CA","hh4","hvetval",1235475094.84
2016,"CA","hh4","hsurval",412273084.72
2016,"CA","hh4","hdisval",1272979983.23
2016,"CA","hh4","hretval",19404597927.78
2016,"CA","hh4","hintval",5375820034.81
2016,"CA","hh4","hdivval",2634469626.4
2016,"CA","hh4","hrntval",2812863216.88
2016,"CA","hh4","hedval",1321448558.36
2016,"CA","hh4","hcspval",753072905.84
2016,"CA","hh4","hfinval",586813719.53
2016,"CA","hh4","hoival",461417734.02
2016,"CA","hh4","htotval",264606090565.97
2016,"CA","hh5","hwsval",640689527022.25
2016,"CA","hh5","hseval",41153512963.48
2016,"CA","hh5","hfrval",5534956145.5
2016,"CA","hh5","hucval",718639256.11
2016,"CA","hh5","hwcval",525133042.68
2016,"CA","hh5","hssval",14806114189.94
2016,"CA","hh5","hssival",762864517.64
2016,"CA","hh5","hpawval",92480954.48
2016,"CA","hh5","hvetval",740782815.03
2016,"CA","hh5","hsurval",1705841751.48
2016,"CA","hh5","hdisval",1390569796.32
2016,"CA","hh5","hretval",31403999956.24
2016,"CA","hh5","hintval",28927910317.28
2016,"CA","hh5","hdivval",15278002924.41
2016,"CA","hh5","hrntval",9808168307.41
2016,"CA","hh5","hedval",1643375301.15
2016,"CA","hh5","hcspval",366721821.8
2016,"CA","hh5","hfinval",353974726.1
2016,"CA","hh5","hoival",288058785
2016,"CA","hh5","htotval",796190634594.3
2016,"CO","hh1","hwsval",1196349008.36
2016,"CO","hh1","hseval",239995419.39
2016,"CO","hh1","hfrval",982913.88
2016,"CO","hh1","hucval",8029455.84
2016,"CO","hh1","hwcval",0
2016,"CO","hh1","hssval",1792373437.33
2016,"CO","hh1","hssival",490223371.56
2016,"CO","hh1","hpawval",28784145.63
2016,"CO","hh1","hvetval",504628972
2016,"CO","hh1","hsurval",226998240
2016,"CO","hh1","hdisval",30580135.8
2016,"CO","hh1","hretval",113983240.6
2016,"CO","hh1","hintval",18099376.36
2016,"CO","hh1","hdivval",36829952.53
2016,"CO","hh1","hrntval",39353890
2016,"CO","hh1","hedval",217488546.15
2016,"CO","hh1","hcspval",51525383.7
2016,"CO","hh1","hfinval",252661555
2016,"CO","hh1","hoival",5656018.5
2016,"CO","hh1","htotval",5254543062.63
2016,"CO","hh2","hwsval",8141415128.95
2016,"CO","hh2","hseval",395096436.31
2016,"CO","hh2","hfrval",153276090.41
2016,"CO","hh2","hucval",47075682.75
2016,"CO","hh2","hwcval",27622757
2016,"CO","hh2","hssval",2401745514.69
2016,"CO","hh2","hssival",35162685.6
2016,"CO","hh2","hpawval",0
2016,"CO","hh2","hvetval",252622804.08
2016,"CO","hh2","hsurval",131554470.52
2016,"CO","hh2","hdisval",124998984
2016,"CO","hh2","hretval",702251691.51
2016,"CO","hh2","hintval",146978757.05
2016,"CO","hh2","hdivval",69838832.5
2016,"CO","hh2","hrntval",168848550.7
2016,"CO","hh2","hedval",219554215
2016,"CO","hh2","hcspval",82252435.68
2016,"CO","hh2","hfinval",85805667
2016,"CO","hh2","hoival",69309032.5
2016,"CO","hh2","htotval",13255409736.25
2016,"CO","hh3","hwsval",19550535100.41
2016,"CO","hh3","hseval",968289852.73
2016,"CO","hh3","hfrval",188867598.92
2016,"CO","hh3","hucval",38604652.56
2016,"CO","hh3","hwcval",1330056
2016,"CO","hh3","hssval",2794313393.65
2016,"CO","hh3","hssival",35864115.24
